GeoFips,GeoName,2018,2019,2020,2021,2022
0,United States,17514402,18343601,19609985,21392812,21820248
1000,Alabama,205674.2,215165.8,230872.6,252791.9,258362.2
2000,Alaska,43522.7,44507.6,45366.3,48207.9,50349.7
4000,Arizona,315459,337214.1,374311.8,409885.7,430083.5
5000,Arkansas,128970.8,131439.2,142111.7,156361.5,160254.2
6000,California,2411055.1,2537950.6,2767521.4,3013676.9,3006647.3
8000,Colorado,328112.7,351373.2,375157.8,417967.7,442213
9000,Connecticut,260582.2,267552.8,278373.6,292370.9,300750.7
10000,Delaware,51150.4,52740.7,55338.4,59172.3,64406.6
11000,District of Columbia,56395.7,57492.3,60178.6,65205.6,64472.8
12000,Florida,1078010.6,1145460.8,1221121.6,1376879.5,1441598.9
13000,Georgia,491088,516552.1,552248.9,606113.6,617553
15000,Hawaii,75266.4,78551.8,82761.3,88948,88973.3
16000,Idaho,76529.6,83019.4,91888.5,103114,109775.9
17000,Illinois,722686.6,741717.2,787487.8,853520.9,851243.1
18000,Indiana,313127.2,326386.7,351106.6,387919.3,398522.6
19000,Iowa,154686,158118.5,167778.9,185621.7,192742.4
20000,Kansas,147407.4,152926.2,161704.7,172071,177474.7
21000,Kentucky,186931.1,195419.7,211966.8,232362.6,234281.9
22000,Louisiana,212320.8,219278,233715,252319.2,250170.6
23000,Maine,64463.2,67842.2,74042.4,80825.7,83950.6
24000,Maryland,367831.3,380342.1,400176.1,426367.4,432933.4
25000,Massachusetts,483954.4,507712.7,541420.5,583363.1,590400.3
26000,Michigan,474208,489493.1,531530.2,568132,572325.1
27000,Minnesota,317564.8,329115.6,349887.4,381789.1,393569
28000,Mississippi,111917.8,116256.3,125760.5,137381.7,136330.2
29000,Missouri,286084.3,297349.1,320592.9,345961.2,357194.7
30000,Montana,50352,53393,58208.8,64542.1,68477
31000,Nebraska,100067.8,104489.9,111347.5,123080.5,126473.5
32000,Nevada,148408.1,159292.9,170269.2,192006.1,197290.9
33000,New Hampshire,82353.7,87706.3,93582,100196.8,103121.9
34000,New Jersey,591910.4,624819.8,657894.4,705095.2,714990.2
35000,New Mexico,86179.5,91139.6,98783.2,108248.3,110303
36000,New York,1298669,1343066.3,1405028.8,1508135.1,1483802.3
37000,North Carolina,473093.3,501587.2,541078,599133.5,621705.6
38000,North Dakota,42565.9,43968.2,47621.4,51261.7,54828.5
39000,Ohio,562523,582400.4,623836,670872.7,679233
40000,Oklahoma,180824,189981.3,199233.2,220176.5,226308
41000,Oregon,210044.9,219982.7,239862.5,262382.4,264173.8
42000,Pennsylvania,707043.4,729142.3,783825.6,833322,836778.3
44000,Rhode Island,56918.9,60313.6,64756.6,69837.3,69514.2
45000,South Carolina,219942.1,234324,250288.3,274347.8,283245.8
46000,South Dakota,45144,48031.4,52793.3,58627.9,62028.3
47000,Tennessee,316176.5,335496.9,359633.6,396986.1,411035.1
48000,Texas,1463789.8,1536597,1611228.3,1789719.4,1879419.6
49000,Utah,144645.5,155673.6,169940.2,190468.3,201011.8
50000,Vermont,33117.1,34824.1,37273.8,39603.5,40790.3
51000,Virginia,479766.6,501811.6,530920.4,578639.7,599042
53000,Washington,451609.2,484334.2,522713.8,574266.8,586520.2
54000,West Virginia,74235,76746.6,80741,87617.4,88744.9
55000,Wisconsin,295996.8,307907.6,326836.5,355048,362245.3
56000,Wyoming,34025.2,35592.6,37866.4,40866.6,42584.7
