ori_first_two,data_year,Acquaintance,Babysittee,Boyfriend/Girlfriend,Child of Boyfriend/Girlfriend,Child,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Relationship Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex Spouse,Common Law Spouse
AK,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AK,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
AK,2020,8,0,4,2,0,0,0,1,0,0,0,0,0,1,3,2,7,1,0,1,0,0,0,0,0,0
AK,2021,1540,9,1907,53,360,11,95,364,22,73,0,54,125,550,608,686,865,520,45,657,28,10,1597,365,64,24
AK,2022,1083,4,1614,43,330,18,27,342,34,68,0,36,137,515,672,645,798,521,48,618,43,15,1320,348,70,18
AL,2018,143,1,187,0,41,3,3,15,5,1,3,7,9,23,39,39,280,21,7,84,3,1,62,19,14,0
AL,2019,253,2,297,3,80,6,0,28,1,3,0,4,14,38,80,57,715,35,25,116,2,2,113,14,23,0
AL,2020,1260,0,1157,15,297,17,10,154,21,31,0,77,234,196,246,367,1732,171,73,568,26,10,479,159,173,86
AL,2021,11111,43,9607,706,1818,364,172,1347,118,326,0,493,2134,1887,3597,2947,9042,1471,383,4112,281,62,5336,669,2092,365
AL,2022,14041,77,13713,749,2660,496,214,1534,188,514,0,665,2644,2288,4434,4114,12982,1931,489,5922,371,67,5433,2239,2480,391
AR,2018,7484,56,9729,268,1937,179,115,1298,171,259,377,421,1032,1568,8041,2040,24611,1648,387,4064,261,67,2531,3401,1056,104
AR,2019,7618,33,10058,284,1997,166,106,1354,178,260,370,368,1129,1520,8157,2249,24274,1637,381,3980,259,67,2554,3544,1155,108
AR,2020,8048,38,11721,342,1917,142,95,1370,203,258,0,431,1359,1642,7240,2356,25283,1647,362,3966,284,81,2687,3426,1334,117
AR,2021,7862,25,11520,266,2106,169,135,1536,187,297,0,393,1388,1729,7567,2391,25866,1720,395,3883,296,59,2734,3693,1301,108
AR,2022,7584,38,10172,320,2068,216,108,1446,193,295,0,422,1336,1772,6785,2310,24040,1725,368,3609,306,73,3155,3487,1233,117
AZ,2018,513,11,920,39,273,19,9,132,27,19,21,26,67,120,441,362,173,225,53,493,37,13,672,296,97,12
AZ,2019,867,7,1099,29,310,21,32,262,17,72,0,49,123,243,786,707,911,313,62,618,55,24,1762,413,101,25
AZ,2020,2886,12,3844,145,1047,88,107,757,70,241,0,156,496,752,1970,1801,3858,1011,155,1681,158,50,5858,1758,257,79
AZ,2021,7265,54,9257,319,2379,175,220,1939,202,533,0,442,1236,1977,4336,4299,12190,2536,348,3947,374,104,13542,3545,619,206
AZ,2022,9294,47,10547,293,2670,299,283,2122,235,579,0,502,1258,2354,4955,4940,17287,2982,380,4569,378,115,16802,4900,681,257
CA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CA,2020,17,1,2,12,3,0,0,2,0,0,0,0,1,3,2,0,50,0,2,2,0,0,12,0,1,0
CA,2021,7655,47,11078,1419,4219,284,214,2054,209,323,0,568,1691,1710,5448,2837,111644,1776,529,4660,258,97,17895,2788,751,381
CA,2022,22330,116,27643,1251,9932,803,704,5046,481,794,0,1354,4367,3664,15106,7304,142133,4611,1152,11885,621,223,46202,8238,1708,1067
CO,2018,8880,89,13603,337,2598,211,91,2119,225,211,660,338,1137,1516,7993,2214,11515,1503,490,6263,258,108,13469,3829,1158,821
CO,2019,12150,76,14339,348,2795,321,428,3078,198,496,112,442,1674,1914,9743,3506,34487,2007,470,6775,337,182,25755,3742,1430,883
CO,2020,11163,46,14854,305,2936,293,350,3163,225,460,0,465,2185,2041,9044,3807,41840,2276,494,6996,343,187,27776,3848,1360,824
CO,2021,12000,61,15185,321,3046,295,394,3060,254,541,0,485,2375,2147,10211,3868,45134,2267,486,6873,340,150,32057,4642,1487,847
CO,2022,12430,47,14056,297,2834,351,411,3038,222,526,0,460,2358,2206,9446,3827,44213,2128,449,7012,333,102,32648,4461,1523,714
CT,2018,3585,21,7553,326,999,68,59,629,55,82,315,113,329,1206,2706,1466,2028,1022,135,2019,131,34,2993,4102,532,97
CT,2019,3823,19,7783,197,1112,71,39,597,51,107,275,122,373,1126,2746,1504,2342,1067,135,1906,149,33,2967,3303,492,142
CT,2020,2872,13,7613,149,1097,43,32,575,51,120,11,107,467,1160,2674,1573,1978,1065,141,1869,168,35,3046,3130,439,138
CT,2021,3125,18,7970,81,1214,77,36,618,62,114,0,152,511,1224,2749,1589,3264,1131,158,2222,147,26,3464,3376,448,139
CT,2022,3296,21,7358,115,1319,77,31,622,64,98,0,156,516,1289,2788,1521,3121,1142,133,2093,154,30,3451,3253,473,102
DE,2018,3237,8,3164,123,726,29,22,476,54,111,193,96,319,570,2914,1015,2591,704,126,979,98,52,3040,2335,297,24
DE,2019,2996,11,2919,122,712,38,38,440,62,127,30,90,334,583,2934,933,2260,660,98,844,81,43,3079,2158,239,14
DE,2020,2458,13,2424,107,606,15,19,354,55,98,4,76,295,557,2412,844,2459,622,99,793,72,44,3135,1988,106,17
DE,2021,2473,4,2566,91,641,29,25,400,71,92,0,84,464,573,2462,805,2296,576,92,786,113,44,3110,2271,122,22
DE,2022,2660,7,2313,109,611,37,23,390,40,82,0,77,350,457,2532,823,2197,610,82,789,96,52,3038,2435,103,27
FL,2018,16,0,6,0,10,0,0,1,3,0,0,0,0,29,24,0,22,5,6,4,2,1,7,0,0,0
FL,2019,71,0,40,6,18,0,1,5,8,0,0,1,3,48,89,4,36,10,3,6,4,4,21,0,3,0
FL,2020,129,0,88,2,17,0,1,15,10,1,0,1,3,70,131,11,78,16,3,27,10,1,56,2,3,1
FL,2021,6956,16,4666,107,1933,224,90,1757,96,205,0,231,1214,1616,13970,2438,8404,1865,261,3908,256,52,7327,4385,397,162
FL,2022,9375,15,6957,128,2369,306,157,2145,134,258,0,359,1498,2009,16076,3237,12887,2478,374,4910,331,51,9994,5040,560,433
GA,2018,1500,1,202,7,70,5,9,65,3,12,0,4,63,67,292,116,1092,77,12,144,8,1,316,11,19,0
GA,2019,8849,22,5348,228,1540,270,265,1322,127,289,20,252,706,1146,2726,1900,13897,1079,267,2493,220,47,4022,1906,629,113
GA,2020,24367,102,21947,769,5127,735,738,5136,453,1152,0,988,2750,4993,13018,7407,54033,4323,966,8838,835,178,17185,5668,2351,447
GA,2021,27157,139,25248,737,5844,898,842,5179,460,1109,0,1025,3067,5475,16653,8600,56011,4856,985,9840,904,200,22080,6725,2550,468
GA,2022,27528,132,22773,706,6422,944,873,4957,447,1193,0,988,2980,5311,18847,9044,60125,4791,981,10004,971,191,21476,6592,2666,562
HI,2018,1984,4,1314,17,367,24,17,261,17,12,24,62,191,230,374,212,2118,134,43,508,28,10,3122,26,132,9
HI,2019,2529,4,1148,21,306,58,48,293,33,39,0,59,221,262,597,255,5089,183,36,505,43,4,6147,64,135,17
HI,2020,2070,6,1223,14,268,34,36,255,16,24,0,46,302,277,479,253,4512,200,56,507,34,10,5467,36,153,9
HI,2021,2819,3,2292,31,477,63,30,451,20,65,0,95,474,390,1224,514,5338,370,56,904,54,26,7966,155,175,23
HI,2022,2516,7,1897,23,369,47,55,410,13,36,0,68,455,360,1153,447,4587,274,43,813,38,19,7495,154,104,24
IA,2018,4857,24,5202,110,784,42,45,690,63,78,147,83,249,509,3615,920,2275,631,125,1658,101,49,2294,1171,399,241
IA,2019,5723,36,6349,153,896,54,49,816,73,86,166,112,338,645,5034,1033,3072,734,179,1872,130,61,2891,1193,444,201
IA,2020,5942,49,6576,159,922,43,48,854,84,106,168,95,474,672,4813,1100,3207,765,153,1847,129,61,3352,1177,530,228
IA,2021,9815,32,7532,119,1099,107,130,1320,77,209,0,161,800,939,6819,1773,5696,960,164,2003,165,46,7534,1685,718,184
IA,2022,8491,32,6057,152,1065,107,100,1338,58,249,0,153,816,799,5684,1614,4623,863,161,1817,164,67,6869,1566,602,161
ID,2018,3508,41,3426,115,1160,59,37,663,89,70,102,149,349,442,2104,860,1348,553,227,2136,137,58,1914,2235,413,178
ID,2019,3529,24,3410,90,1201,72,39,625,85,84,61,131,364,423,1903,777,1431,556,212,2083,111,70,1921,2067,462,153
ID,2020,4542,45,3605,86,1203,94,163,902,128,180,11,162,702,578,2121,1151,3943,690,261,2139,149,69,4575,2326,487,185
ID,2021,4791,28,3288,106,1325,120,194,1089,81,225,0,159,661,677,2396,1400,4257,643,259,2081,142,47,5154,2202,542,242
ID,2022,4742,29,3149,90,1176,110,184,971,95,183,0,158,653,679,2747,1398,3715,635,205,2187,150,55,4453,2040,448,167
IL,2018,827,6,1973,54,171,13,5,257,13,14,93,22,65,184,669,194,1340,210,28,269,25,8,1129,181,72,7
IL,2019,810,7,2057,50,157,5,7,180,10,15,79,31,38,169,485,201,1098,203,21,244,18,5,892,169,77,6
IL,2020,1223,9,2116,49,198,29,13,279,18,19,49,40,111,278,682,276,4101,230,29,374,31,10,1438,199,89,54
IL,2021,15545,42,18746,298,3770,416,415,3882,168,589,0,664,3256,4502,9806,5119,44179,3465,444,5284,465,168,23557,4122,939,3030
IL,2022,22700,62,28053,418,6052,727,686,6133,295,970,0,1136,5522,7510,17841,7956,68000,5482,702,7963,611,243,38931,6423,1365,3166
IN,2018,783,5,1507,36,226,32,31,313,15,25,20,50,184,252,1259,254,2045,206,39,432,44,10,473,533,234,30
IN,2019,3867,43,5792,156,1001,169,132,1207,119,125,3,154,574,772,3140,995,5934,712,226,1632,132,44,3181,1382,430,161
IN,2020,9703,81,13590,398,2515,294,297,3390,205,400,3,424,1725,2107,7618,2719,19616,1792,485,3742,315,135,10531,3586,1032,287
IN,2021,11946,92,13800,487,2967,442,457,3842,262,570,0,486,2164,2581,8845,3698,20836,2346,584,4844,486,154,13226,4953,1104,254
IN,2022,11724,85,12989,459,3137,486,474,3627,253,548,0,507,2017,2480,9798,3594,18877,2389,591,4675,400,130,13589,5643,1217,254
KS,2018,11559,42,7660,202,1613,71,51,962,129,174,344,268,593,882,3416,2054,3327,1365,308,3594,252,55,6956,4240,579,329
KS,2019,11992,34,7906,223,1759,70,65,1186,121,247,386,277,648,899,3597,2235,3781,1292,300,3644,206,68,6830,4082,596,266
KS,2020,12438,19,8729,209,1848,73,61,1199,108,253,516,319,867,996,3992,2554,5153,1528,327,3763,235,68,7609,4716,662,257
KS,2021,13671,40,9521,256,1816,102,69,1261,137,255,1,282,813,1009,4255,2650,6302,1480,301,3764,236,78,7392,4781,694,296
KS,2022,12254,31,8411,207,1676,88,86,1184,150,238,0,267,762,856,4041,2376,6688,1454,267,3446,228,73,6506,4146,631,215
KY,2018,9808,88,8682,432,2549,124,142,1569,272,276,372,295,1188,1524,5232,1970,3021,1126,475,3077,201,131,9958,1680,581,90
KY,2019,15647,89,9433,346,2659,399,594,2993,251,719,378,532,2228,2384,7843,3499,6797,1968,412,3255,395,200,23163,1456,829,121
KY,2020,14235,78,10159,363,2671,339,416,2962,247,646,416,438,2453,2336,7564,3360,5860,1973,467,3117,381,190,23998,1513,800,51
KY,2021,12938,66,10437,350,2781,259,401,2567,249,596,0,417,2450,2200,7381,3009,5636,1838,431,3075,330,145,21572,1425,813,54
KY,2022,11101,80,8084,279,2516,270,363,2097,222,496,0,395,2021,1809,6994,2633,5866,1532,430,2695,271,116,18916,1300,672,38
LA,2018,2228,4,3254,71,487,28,34,454,37,52,75,123,205,510,1866,563,4102,470,107,1154,90,26,597,1495,216,221
LA,2019,3255,5,3702,93,541,46,29,474,47,77,11,110,258,569,1703,649,3802,541,128,1192,92,24,749,2040,320,197
LA,2020,3902,8,6158,150,763,42,39,684,50,115,0,176,436,838,2444,904,5185,784,151,1688,137,29,1455,2182,447,361
LA,2021,8102,18,12870,384,1898,179,171,1424,137,263,0,356,983,1809,5777,2315,12309,1654,386,3798,289,87,3629,3850,826,925
LA,2022,8449,28,12054,382,1920,188,214,1399,161,255,0,355,891,1725,6050,2260,12165,1682,407,3707,283,74,3626,4264,782,945
MA,2018,7313,57,12910,237,1871,200,160,1879,140,171,507,340,1681,1297,8506,2807,7069,1868,284,3368,281,88,10424,1702,1010,101
MA,2019,9258,50,13380,247,1989,325,371,2449,140,326,325,406,2340,1630,11023,3545,11355,2176,317,3468,284,69,17019,1952,1346,133
MA,2020,9362,22,14000,243,2014,293,339,2808,103,392,0,460,3833,1888,12741,4000,17115,2474,325,3549,365,80,20910,2111,1356,114
MA,2021,9686,23,12914,188,2124,366,345,2837,122,366,0,440,3843,1921,11745,3756,18268,2435,316,3472,344,102,20153,2532,1003,120
